star_type,heat,predicted_heat,error,abs_error,pct_error
A8,29.8,30.387868596645525,0.5878685966455244,0.5878685966455244,1.9727134115621623
A8,22.1,22.459130328694783,0.359130328694782,0.359130328694782,1.625024111741095
A7,88.7,84.92427603751511,-3.775723962484889,3.775723962484889,4.256735019712388
A7,81.2,76.37124079781648,-4.82875920218352,4.82875920218352,5.946747785940295
A7,74.1,69.02356774002877,-5.076432259971227,5.076432259971227,6.8507857759395785
A7,44.6,41.921422663756665,-2.678577336243336,2.678577336243336,6.005778780814654
A7,24.4,22.9071715299606,-1.4928284700394023,1.4928284700394023,6.1181494673746
A7,6.7,4.764406521371901,-1.9355934786280988,1.9355934786280988,28.889454904896994
F1,91.3,93.19513368877584,1.895133688775843,1.895133688775843,2.075721455395228
F1,82.9,86.97474936540418,4.074749365404173,4.074749365404173,4.915258583117217
F1,53.4,65.74206620179734,12.342066201797344,12.342066201797344,23.112483523965064
F1,14.0,23.209032899098496,9.209032899098496,9.209032899098496,65.7788064221321
F9,78.7,76.09309921108091,-2.6069007889190914,2.6069007889190914,3.3124533531373457
F9,72.8,70.51977565548273,-2.280224344517265,2.280224344517265,3.132176297413826
F9,56.5,55.85711934025161,-0.6428806597483927,0.6428806597483927,1.137841875660872
F9,35.3,36.69524081975904,1.3952408197590458,1.3952408197590458,3.9525235687225093
F9,14.1,14.092644742647895,-0.0073552573521045,0.0073552573521045,0.05216494575960638
F9,3.7,2.446930805916245,-1.2530691940837553,1.2530691940837553,33.86673497523663
F3,33.1,41.85403299091564,8.75403299091564,8.75403299091564,26.44722957980556
F3,65.7,70.31351993034961,4.613519930349611,4.613519930349611,7.022100350608235
F6,83.7,76.92817983126312,-6.77182016873688,6.77182016873688,8.09058562573104
F6,69.3,61.22909398271196,-8.070906017288038,8.070906017288038,11.64632902927567
F6,53.1,46.1392726010069,-6.9607273989931,6.9607273989931,13.108714499045387
F6,41.1,35.485860743478376,-5.614139256521625,5.614139256521625,13.659706220247262
F6,27.7,23.41382997276209,-4.286170027237908,4.286170027237908,15.473538004468985
F6,11.5,8.235537186450834,-3.264462813549166,3.264462813549166,28.38663316129709
A9,60.9,42.46956261678178,-18.43043738321822,18.43043738321822,30.263443979011857
A9,17.1,8.523219986775995,-8.576780013224006,8.576780013224006,50.15660826446787
A7,91.7,91.93017481954035,0.2301748195403519,0.2301748195403519,0.2510085273068178
A7,83.1,84.27757912952394,1.1775791295239486,1.1775791295239486,1.4170627310757504
A7,65.7,70.03822698545908,4.338226985459073,4.338226985459073,6.6030852137885425
A7,43.8,51.776790435174405,7.976790435174408,7.976790435174408,18.211850308617368
A7,23.6,31.03117919872811,7.43117919872811,7.43117919872811,31.48804745223775
K7,82.7,85.19538229201103,2.49538229201103,2.49538229201103,3.0173909214159975
F5,77.2,81.02263348984157,3.822633489841565,3.822633489841565,4.951597784768866
F5,32.4,43.78284706100682,11.38284706100682,11.38284706100682,35.13224401545315
M7,27.6,15.321893128155477,-12.278106871844525,12.278106871844525,44.4858944632048
A2,98.7,98.77362542709592,0.0736254270959193,0.0736254270959193,0.07459516423092127
A2,94.0,93.88992070080236,-0.1100792991976362,0.1100792991976362,0.11710563744429384
A2,89.4,89.46261316751055,0.0626131675105483,0.0626131675105483,0.0700371001236558
A2,78.8,80.1443506145256,1.3443506145256094,1.3443506145256094,1.70602869863656
